,Total Days,Expected Breaches,Actual Breaches,Breach Rate (%),VaR 95%,Model Status
AAPL,752,38,37,4.92,-2.76,✅ PASS
CVX,752,38,38,5.05,-2.61,✅ PASS
EL,752,38,39,5.19,-3.76,✅ PASS
GS,752,38,38,5.05,-2.41,✅ PASS
HLI,752,38,38,5.05,-2.63,✅ PASS
JNJ,752,38,38,5.05,-1.6,✅ PASS
JPM,752,38,38,5.05,-2.51,✅ PASS
KO,752,38,38,5.05,-1.53,✅ PASS
MCD,752,38,38,5.05,-1.69,✅ PASS
META,752,38,38,5.05,-4.21,✅ PASS
MRK,752,38,38,5.05,-1.87,✅ PASS
PLTR,752,38,38,5.05,-6.35,✅ PASS
ULTA,752,38,38,5.05,-3.25,✅ PASS
UNH,752,38,38,5.05,-2.42,✅ PASS
XOM,752,38,38,5.05,-2.8,✅ PASS
