,Sharpe Ratio,Max Drawdown (%),Beta,Volatility (%),CAGR (%)
AAPL,0.2676,-30.91,1.209,27.05,11.88
CVX,0.2482,-24.95,0.5245,25.8,10.95
EL,-1.2953,-82.39,1.2499,43.18,-40.47
GS,0.4214,-30.51,1.0049,26.43,16.32
HLI,0.5503,-36.57,0.9021,27.31,20.93
JNJ,-0.4165,-18.41,0.2471,16.34,-2.76
JPM,0.482,-37.93,0.8641,24.92,17.34
KO,0.042,-17.27,0.3899,15.66,4.76
MCD,0.0492,-17.23,0.4645,17.36,4.97
META,0.2929,-73.74,1.727,49.45,20.28
MRK,0.3748,-27.08,0.2588,20.08,12.2
PLTR,0.6351,-67.62,2.1892,67.92,60.11
ULTA,-0.0685,-43.48,0.888,33.38,1.73
UNH,-0.0947,-22.05,0.4385,24.45,1.7
XOM,0.6312,-20.51,0.4653,27.24,23.57
